region,place,type,planning_authority,tier,coverage
West Midlands,Birmingham,City,Birmingham City Council,1,In person (Birmingham)
London,London (hub page),City,32 London boroughs + City of London,1,Inspector network
London,Barking and Dagenham,Borough,London Borough of Barking and Dagenham,2,Inspector network
London,Barnet,Borough,London Borough of Barnet,2,Inspector network
London,Bexley,Borough,London Borough of Bexley,2,Inspector network
London,Brent,Borough,London Borough of Brent,2,Inspector network
London,Bromley,Borough,London Borough of Bromley,2,Inspector network
London,Camden,Borough,London Borough of Camden,2,Inspector network
London,Croydon,Borough,London Borough of Croydon,2,Inspector network
London,Ealing,Borough,London Borough of Ealing,2,Inspector network
London,Enfield,Borough,London Borough of Enfield,2,Inspector network
London,Greenwich,Borough,Royal Borough of Greenwich,2,Inspector network
London,Hackney,Borough,London Borough of Hackney,2,Inspector network
London,Hammersmith and Fulham,Borough,London Borough of Hammersmith and Fulham,2,Inspector network
London,Haringey,Borough,London Borough of Haringey,2,Inspector network
London,Harrow,Borough,London Borough of Harrow,2,Inspector network
London,Havering,Borough,London Borough of Havering,2,Inspector network
London,Hillingdon,Borough,London Borough of Hillingdon,2,Inspector network
London,Hounslow,Borough,London Borough of Hounslow,2,Inspector network
London,Islington,Borough,London Borough of Islington,2,Inspector network
London,Kensington and Chelsea,Borough,Royal Borough of Kensington and Chelsea,2,Inspector network
London,Kingston upon Thames,Borough,Royal Borough of Kingston upon Thames,2,Inspector network
London,Lambeth,Borough,London Borough of Lambeth,2,Inspector network
London,Lewisham,Borough,London Borough of Lewisham,2,Inspector network
London,Merton,Borough,London Borough of Merton,2,Inspector network
London,Newham,Borough,London Borough of Newham,2,Inspector network
London,Redbridge,Borough,London Borough of Redbridge,2,Inspector network
London,Richmond upon Thames,Borough,London Borough of Richmond upon Thames,2,Inspector network
London,Southwark,Borough,London Borough of Southwark,2,Inspector network
London,Sutton,Borough,London Borough of Sutton,2,Inspector network
London,Tower Hamlets,Borough,London Borough of Tower Hamlets,2,Inspector network
London,Waltham Forest,Borough,London Borough of Waltham Forest,2,Inspector network
London,Wandsworth,Borough,London Borough of Wandsworth,2,Inspector network
London,Westminster,City,Westminster City Council,2,Inspector network
South East,Milton Keynes,City,Milton Keynes City Council,1,Inspector network
South East,Reading,Town,Reading Borough Council,1,Inspector network
South East,Southampton,City,Southampton City Council,1,Inspector network
South East,Brighton & Hove,City,Brighton & Hove City Council,1,Inspector network
South East,Oxford,City,Oxford City Council,1,Inspector network
